0	1	749.0
0	2	1137.0
0	3	37.0
0	4	703.0
0	5	727.0
0	7	233.0
0	8	329.0
0	9	327.0
0	10	1.0
0	11	37.0
0	12	307.0
0	13	209.0
0	14	49.0
0	15	673.0
0	16	27.0
0	17	1.0
0	18	393.0
0	19	19.0
0	20	1.0
0	21	51.0
0	22	13.0
0	23	19.0
0	24	149.0
0	25	1247.0
0	26	209.0
0	27	969.0
0	28	49.0
0	29	753.0
0	30	1815.0
0	31	5865.0
0	32	3273.0
0	33	603.0
0	34	139.0
0	35	1.0
0	36	25.0
0	37	665.0
0	38	151.0
0	39	831.0
0	40	899.0
0	41	7.0
0	42	37.0
0	43	1.0
0	44	31.0
0	45	385.0
0	46	967.0
0	47	269.0
0	48	117.0
0	49	11.0
0	50	221.0
0	51	1619.0
0	52	11.0
1	2	587.0
1	3	21.0
1	4	1667.0
1	5	175.0
1	6	421.0
1	7	409.0
1	8	529.0
1	9	83.0
1	12	55.0
1	13	2025.0
1	14	3261.0
1	15	5.0
1	17	319.0
1	24	5.0
1	25	73.0
1	27	483.0
1	29	279.0
1	34	277.0
1	35	1.0
1	53	213.0
1	54	513.0
1	55	1239.0
1	56	183.0
1	61	3151.0
1	62	2453.0
1	63	275.0
1	72	1449.0
2	4	2141.0
2	5	147.0
2	6	1.0
2	8	19.0
2	9	97.0
2	10	119.0
2	15	23.0
2	16	1911.0
2	17	93.0
2	19	219.0
2	32	1109.0
2	33	1779.0
2	40	709.0
2	41	25.0
2	44	75.0
2	45	31.0
2	46	23.0
2	47	1861.0
2	48	69.0
2	49	1275.0
2	53	479.0
2	54	103.0
2	55	289.0
2	56	87.0
2	57	181.0
2	58	181.0
2	59	437.0
2	60	127.0
3	4	2889.0
3	5	1725.0
3	6	71.0
3	9	5.0
3	10	2337.0
3	13	37.0
3	40	209.0
3	43	1.0
3	44	1.0
3	48	667.0
3	52	85.0
3	53	5281.0
4	5	451.0
4	6	381.0
4	25	267.0
4	27	205.0
4	32	7905.0
4	38	379.0
4	40	25.0
4	41	25.0
4	47	2529.0
4	48	7.0
4	49	955.0
4	52	619.0
4	53	57.0
4	54	91.0
4	55	1825.0
4	60	1631.0
4	63	179.0
4	72	769.0
4	73	1069.0
4	74	1023.0
4	75	8285.0
4	77	1.0
5	6	69.0
5	25	1907.0
5	27	635.0
5	29	777.0
5	34	463.0
5	35	639.0
5	39	2127.0
5	40	47.0
5	44	39.0
5	45	301.0
5	47	3149.0
5	48	1595.0
5	49	3523.0
5	50	9.0
5	51	27.0
5	52	5.0
5	53	173.0
5	54	153.0
5	62	153.0
5	72	91.0
5	81	271.0
5	82	10867.0
5	83	635.0
5	84	97.0
6	10	115.0
6	25	3.0
6	27	147.0
6	31	1.0
6	35	77.0
6	39	9.0
6	40	149.0
6	46	343.0
6	48	5.0
6	52	95.0
6	53	147.0
6	54	183.0
8	64	19.0
9	10	1169.0
9	27	273.0
9	64	49.0
9	65	289.0
10	27	625.0
13	27	1529.0
15	73	79.0
16	64	337.0
17	27	15.0
19	73	93.0
21	22	35.0
21	66	1.0
21	67	1.0
22	68	7.0
23	68	95.0
23	69	1.0
25	53	261.0
27	40	73.0
27	44	21.0
27	45	15.0
27	46	7.0
27	47	4025.0
27	48	371.0
27	52	1.0
27	53	2391.0
27	54	189.0
29	31	5483.0
29	44	5.0
29	48	109.0
29	52	323.0
29	62	27.0
31	62	231.0
32	58	7525.0
35	53	67.0
40	48	421.0
41	73	43.0
44	74	23.0
44	75	237.0
44	76	1.0
45	73	5.0
45	77	345.0
48	49	113.0
48	59	97.0
48	60	37.0
48	72	1383.0
48	78	195.0
48	79	331.0
48	80	437.0
48	81	291.0
49	78	5823.0
49	79	251.0
49	80	5.0
49	81	1637.0
51	52	705.0
51	85	417.0
52	84	1.0
54	73	163.0
55	73	311.0
61	64	667.0
66	70	1.0
66	71	1.0
80	81	321.0
82	83	103.0
